League Year,Team Name,Attack,Midfield,Defence,Overall
2018,Bournemouth,79,76,77,77
2018,Watford,78,78,77,77
2018,Burnley,77,75,77,77
2018,Newcastle United,76,77,76,77
2018,Wolverhampton Wanderers,75,80,76,77
2018,Brighton & Hove Albion,76,77,76,76
2018,Southampton,73,77,74,76
2018,Fulham,78,76,73,75
2018,Huddersfield Town,72,73,75,74
2018,Cardiff City,73,73,72,73
2017,Manchester City,85,87,83,84
2017,Tottenham Hotspur,85,83,82,83
2017,Manchester United,85,83,81,83
2017,Chelsea,84,86,82,83
2017,Arsenal,84,80,81,82
2017,Liverpool,85,81,80,81
2017,Everton,77,80,79,79
2017,Leicester City,79,79,76,78
2017,West Ham United,79,76,74,77
2017,Watford,78,77,75,77
2017,Burnley,76,77,78,77
2017,Crystal Palace,79,76,76,76
2017,West Bromwich Albion,79,75,77,76
2017,Southampton,76,77,75,76
2017,Bournemouth,76,75,75,76
2017,Stoke City,75,76,76,76
2017,Newcastle United,76,75,76,75
2017,Swansea City,76,75,74,75
2017,Brighton & Hove Albion,74,76,74,75
2017,Huddersfield Town,75,73,74,74
2016,Chelsea,86,84,81,83
2016,Manchester United,84,84,82,83
2016,Manchester City,83,85,81,83
2016,Arsenal,81,83,82,83
2016,Tottenham Hotspur,85,81,81,81
2016,Liverpool,82,81,81,81
2016,Everton,85,78,79,80
2016,Leicester City,79,78,76,78
2016,West Ham United,79,77,77,78
2016,Southampton,78,76,77,78
2016,Stoke City,77,78,77,78
2016,Crystal Palace,80,77,76,77
2016,Watford,78,78,76,77
2016,Swansea City,78,76,75,77
2016,Sunderland,81,76,73,76
2016,West Bromwich Albion,81,76,74,75
2016,Hull City,76,74,75,75
2016,Middlesbrough,76,74,74,75
2016,Bournemouth,74,75,74,74
2016,Burnley,74,74,76,74
2015,Chelsea,81,82,82,83
2015,Manchester City,84,82,81,82
2015,Arsenal,82,79,80,82
2015,Manchester United,69,80,77,81
2015,Tottenham Hotspur,82,78,79,79
2015,Liverpool,81,78,79,79
2015,Everton,79,78,80,79
2015,Newcastle United,77,77,75,77
2015,Stoke City,76,78,76,77
2015,West Ham United,76,76,74,77
2015,Swansea City,77,76,76,76
2015,Leicester City,76,77,75,76
2015,Southampton,76,76,76,76
2015,Crystal Palace,75,76,75,76
2015,Watford,77,74,74,75
2015,Sunderland,77,74,74,75
2015,West Bromwich Albion,76,73,73,75
2015,Aston Villa,74,74,74,75
2015,Norwich City,78,74,73,74
2015,Bournemouth,72,74,72,73
2014,Chelsea,83,82,81,83
2014,Manchester City,83,81,81,82
2014,Manchester United,85,80,75,81
2014,Arsenal,81,80,77,80
2014,Liverpool,79,78,75,79
2014,Everton,78,78,78,78
2014,Tottenham Hotspur,78,77,77,78
2014,Southampton,77,75,76,76
2014,Stoke City,76,75,74,76
2014,Swansea City,77,74,74,75
2014,West Ham United,75,74,72,75
2014,Newcastle United,74,75,74,75
2014,Queens Park Rangers,74,74,71,75
2014,Aston Villa,72,74,74,75
2014,Sunderland,76,73,72,74
2014,West Bromwich Albion,74,74,71,74
2014,Hull City,75,73,70,73
2014,Crystal Palace,73,73,73,73
2014,Leicester City,71,72,68,72
2014,Burnley,71,70,71,70
2013,Manchester United,85,79,80,82
2013,Manchester City,84,83,81,82
2013,Chelsea,81,82,81,82
2013,Arsenal,79,81,80,80
2013,Tottenham Hotspur,77,80,78,80
2013,Liverpool,76,79,78,80
2013,Everton,78,78,78,78
2013,Swansea City,79,74,75,76
2013,Newcastle United,78,75,76,76
2013,Southampton,76,76,73,75
2013,Fulham,71,74,72,75
2013,West Ham United,76,74,72,74
2013,Stoke City,76,73,73,74
2013,Norwich City,74,74,74,74
2013,Sunderland,74,73,73,74
2013,Aston Villa,72,71,74,74
2013,West Bromwich Albion,70,74,72,74
2013,Hull City,72,71,71,72
2013,Cardiff City,72,70,73,72
2013,Crystal Palace,71,72,71,72
